"feat","mz","is_known","is_on_tissue","metabolite_name","metabolite_adduct","metabolite_score","rho_out","rho_in","label"
62,193.0388,TRUE,FALSE,"Glucuronic acid","[M-H]-",10.6,-0.9286,0.9,"Glucuronic acid (193.0388)"
4,115.0046,TRUE,FALSE,"Fumarate**","[M-H]-",59.4,-0.9643,0.7,"Fumarate** (115.0046)"
7,124.0084,TRUE,FALSE,"Taurine","[M-H]-",60.8,-0.9643,0,"Taurine (124.0084)"
8,125.0019,TRUE,TRUE,"L-Lactic acid (lactate)","[M+Cl]-",69.4,-0.9643,0.3,"L-Lactic acid (lactate) (125.0019)"
10,127.0522,TRUE,FALSE,"Dihydrothymine","[M-H]-",63.3,-0.9643,-0.9,"Dihydrothymine (127.0522)"
18,135.0321,TRUE,FALSE,"Hypoxanthine","[M-H]-",66.2,-0.9643,0,"Hypoxanthine (135.0321)"
20,138.9813,TRUE,FALSE,"Acetylphosphate","[M-H]-",61.1,-0.9643,0.3,"Acetylphosphate (138.9813)"
25,145.0625,TRUE,FALSE,"Glutamine","[M-H]-",77.6,-0.9643,-0.7,"Glutamine (145.0625)"
27,149.9964,TRUE,FALSE,"Phosphonopropionic acid","[M-H2O-H]-",93.5,-0.9643,-0.5,"Phosphonopropionic acid (149.9964)"
40,167.0225,TRUE,FALSE,"Uric acid","[M-H]-",57.6,-0.9643,0.6,"Uric acid (167.0225)"
44,169.0987,TRUE,FALSE,"Glycylleucine","[M-H2O-H]-",87.7,-0.9643,0.1,"Glycylleucine (169.0987)"
65,198.088,TRUE,FALSE,"Acetylcitrulline","[M-H2O-H]-",88.9,-0.9643,0.6,"Acetylcitrulline (198.0880)"
83,228.1018,TRUE,FALSE,"Prolyl-asparagine","[M-H]-",38.5,-0.9643,0.2,"Prolyl-asparagine (228.1018)"
87,240.1359,TRUE,FALSE,"Leucylglutamine","[M-H2O-H]-",89.8,-0.9643,0,"Leucylglutamine (240.1359)"
153,337.3119,TRUE,FALSE,"Butyl oleic acid","[M-H]-",89.3,-0.9643,0.4,"Butyl oleic acid (337.3119)"
160,356.0452,FALSE,TRUE,NA,NA,NA,-0.9643,0,"m/z 356.0452 (unknown)"
162,361.2191,FALSE,TRUE,NA,NA,NA,-0.9643,0.3,"m/z 361.2191 (unknown)"
176,390.2147,FALSE,TRUE,NA,NA,NA,-0.9643,0.3,"m/z 390.2147 (unknown)"
260,514.2757,TRUE,FALSE,"Taurocholic acid","[M-H]-",15.1,-0.9643,0.1,"Taurocholic acid (514.2757)"
1,110.986,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 110.9860 (unknown)"
3,113.0255,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 113.0255 (unknown)"
