"sid","group","instance","apical_class","n_px","cit","dha","cit_rel","dha_rel","cit_mtic","dha_mtic","cit_dha"
"AO_0h_sl6A_sec6a","0h",5,"mixed",153,2.56439033237654e-05,10.2056496308547,-0.0256231175588889,-0.0454113416228029,2.12821590796439e-06,1.0611305999072,-18.6023207130355
"AO_0h_sl6A_sec6a","0h",6,"mixed",172,7.66468708304645e-05,13.6359097854929,1.55398790140005,0.372631599535083,5.21648900592537e-06,1.110242569801,-17.4407526352345
"AO_20h_sl4A_sec1a","20h",1,"basolateral_out",274,9.64439478764166e-06,13.9883705744975,-1.89061294063483,-0.0320231339465269,8.76983403427763e-07,1.20678031258966,-20.4680338771604
"AO_20h_sl4A_sec1a","20h",2,"mixed",249,2.97232821219962e-05,12.1928940372927,-0.26678212296622,-0.23021045827161,2.51273785081512e-06,1.12349527903613,-18.6460157351667
"AO_20h_sl4A_sec1a","20h",3,"apical_out",80,3.8367346377379e-05,14.7456804863098,0.101503432681084,0.0440413467661013,2.7715782150213e-06,1.19095446743449,-18.5519819845571
"AO_20h_sl4A_sec1a","20h",4,"apical_out",81,5.40558250717113e-05,15.6222559264528,0.596074537810064,0.127351745481247,3.05929196858404e-06,1.03709482677045,-18.1407212781432
"AO_20h_sl4A_sec1a","20h",5,"mixed",179,8.37147314737608e-05,12.5599677464859,1.2271059657072,-0.187418295470597,5.9183251546116e-06,1.04178785230209,-17.1949198092943
"AO_20h_sl4A_sec1a","20h",6,"apical_out",156,7.43610937313167e-05,13.502396563903,1.05617243635051,-0.0830355584582182,5.29968880240743e-06,1.08495322073346,-17.4702360756633
"AO_20h_sl4A_sec1a","20h",8,"mixed",23,1.97144126567348e-05,13.8689034928939,-0.859124824296651,-0.0443973255058651,1.39211314421836e-06,1.12546170684232,-19.4241715692628
"AO_20h_sl4A_sec1a","20h",10,"apical_out",90,3.5760714298682e-05,16.2729750161942,0,0.186226972904187,2.50117088065372e-06,1.2713730647002,-18.7956710433762
"AO_20h_sl4A_sec1a","20h",12,"apical_out",90,0.000151188439607338,17.689239493922,2.07990037142352,0.306620969257406,9.35203681231454e-06,1.25645185247971,-16.8361646683059
"AO_20h_sl4A_sec1a","20h",13,"basolateral_out",65,2.85174617829124e-05,12.5303089682271,-0.326529974379865,-0.190829066322517,2.92349524722698e-06,1.27389278908581,-18.7451449785294
"AO_20h_sl4A_sec1a","20h",16,"apical_out",123,0.000143298254444159,19.2088785523053,2.00257357695381,0.425522239500115,7.90207315578337e-06,1.18458866901185,-17.0323927330184
"AO_20h_sl4A_sec1a","20h",17,"apical_out",141,9.73483839207746e-05,14.6275448128353,1.44478147521157,0.0324365830740221,6.56105087193144e-06,1.12984422597592,-17.1970991783345
"AO_20h_sl4A_sec1b","20h",1,"mixed",299,4.19929329199852e-05,10.8034716064767,0,0,3.20568410637261e-06,0.882026992652491,-17.9729170002636
"AO_20h_sl4A_sec2a","20h",1,"apical_out",495,0.00015436153140222,21.4108619896897,-0.039535746457965,0.0711552417023919,8.26678707920307e-06,1.27840197556531,-17.0816700915821
"AO_20h_sl4A_sec2a","20h",2,"apical_out",32,0.000181445942291232,18.5772474273422,0.193690785600074,-0.133650882473583,9.1188815956083e-06,1.06077631615725,-16.6436374353481
"AO_20h_sl4A_sec2a","20h",5,"apical_out",71,0.000162938795657473,23.2936274263526,0.0384811415105221,0.192747685042995,8.8760039799791e-06,1.46043126333101,-17.1252456469542
"AO_20h_sl4A_sec2b","20h",1,"apical_out",301,5.57453715736922e-05,18.1864002583414,-0.157081772993381,0.00715684440558039,3.33203026600279e-06,1.2227469494613,-18.3155765534856
"AO_20h_sl4A_sec2b","20h",2,"apical_out",121,0.000149460223161516,20.4019614025009,1.26575587748785,0.173004690902885,7.98906995335387e-06,1.25181434176143,-17.0585867495017
"AO_20h_sl4A_sec2b","20h",5,"mixed",134,6.59291105319326e-05,18.1225125073652,0.0849818187634592,0.00207981898079801,3.66133970869381e-06,1.1325395111026,-18.068435936304
"AO_20h_sl4A_sec2b","20h",6,"mixed",284,6.15175055263997e-05,15.7830937163377,-0.0149367942870961,-0.19732314336844,4.66971966406812e-06,1.27891090557219,-17.9689515870053
"AO_20h_sl4A_sec2b","20h",7,"apical_out",67,6.27979528737552e-05,20.8669612487101,0.0147837310988994,0.205517357636479,3.8134112556502e-06,1.31741741185821,-18.3420715626242
